Продукт,Калорийность,Белки,Жиры,Углеводы
"Горбуша, приготовленная на жару",153 кКал,"24,58 г","5,28 г",0 г
"Горбуша, с костями, консервированная",129 кКал,"19,68 г","4,97 г",0 г
"Горбуша, сырая",127 кКал,"20,5 г","4,4 г",0 г
"Горбыль волнистый, жареный в панировке",221 кКал,"18,2 г","12,67 г","7,14 г"
"Горбыль волнистый, сырой",104 кКал,"17,78 г","3,17 г",0 г
"Горбыль, приготовленный на жару",153 кКал,"22,49 г","6,32 г",0 г
"Горбыль, сырой",119 кКал,"17,54 г","4,93 г",0 г
Гребешок,69 кКал,"12,06 г","0,49 г","3,18 г"
"Гребешок, искусственный из сурими",99 кКал,"12,77 г","0,41 г","10,62 г"
"Гребешок, обжаренный в панировке",216 кКал,"18,07 г","10,94 г","10,13 г"
"Гребешок, приготовленный на пару",111 кКал,"20,54 г","0,84 г","5,41 г"
"Групер, все виды, приготовленный на жару",118 кКал,"24,84 г","1,3 г",0 г
"Групер, все виды, сырой",92 кКал,"19,38 г","1,02 г",0 г
Джакас,120 кКал,"20,3 г","4,3 г",0 г
"Дночерпатель,все виды, приготовленный на жару",128 кКал,"26,3 г","1,72 г",0 г
"Дночерпатель,все виды, сырой",100 кКал,"20,51 г","1,34 г",0 г
Дрепана,88 кКал,"19,4 г","1,1 г",0 г
Ерш морской дальневосточный,150 кКал,"16,6 г","9,3 г",0 г
Желтоперка,108 кКал,"17,9 г",4 г,0 г
Жерех,99 кКал,"18,8 г","2,6 г",0 г
"Жир тюленя, (Ларга, или пестрая нерпа), (Аляска)",894 кКал,0 г,"99,32 г",0 г
Зеленоглазка,117 кКал,"19,6 г","4,3 г",0 г
"Зразы из судака, по 1-382",164 кКал,"12,1 г","7,4 г","12,1 г"
"Зразы из хека, по 1-374",140 кКал,"13,1 г","5,6 г","9,3 г"
Зубан,132 кКал,"18,8 г","6,3 г",0 г
Зубатка атлантическая,96 кКал,"17,5 г","2,39 г",0 г
"Зубатка атлантическая, приготовленная на жару",123 кКал,"22,44 г","3,06 г",0 г
"Зубатка жареная, по 1-364",209 кКал,"22,2 г","11,5 г","4,1 г"
"Зубатка запеченная в сметанном соусе, по 1-376",137 кКал,"7,4 г","8,8 г","6,8 г"
"Зубатка отварная, по 1-342",122 кКал,19 г,"5,1 г",0 г
Зубатка пестрая,126 кКал,"19,6 г","5,3 г",0 г
Зубатка полосатая,109 кКал,16 г,5 г,0 г
"Икра белужья зернистая, соленая",235 кКал,"26,8 г","13,8 г","0,8 г"
"Икра вобельная пробойная, соленая",142 кКал,"23,9 г","5,1 г",0 г
"Икра вобельная ястычная (тарама), соленая",151 кКал,"24,9 г","5,7 г",0 г
"Икра горбуши зернистая, соленая",230 кКал,"30,6 г","11,5 г",1 г
"Икра кеты зернистая, соленая",249 кКал,"31,5 г","13,2 г",1 г
"Икра лещевая пробойная, соленая",142 кКал,"24,7 г","4,8 г",0 г
"Икра лобанья вяленая, соленая",505 кКал,"34,4 г","40,8 г",0 г
"Икра минтая пробойная, соленая",132 кКал,"27,9 г","1,8 г","1,1 г"
"Икра осетровая зернистая, соленая",200 кКал,"28,4 г","9,3 г","0,6 г"
"Икра осетровая паюсная, соленая",289 кКал,"38,2 г","14,5 г","1,5 г"
"Икра сазанья пробойная, соленая",123 кКал,"25,1 г","2,5 г",0 г
"Икра севрюги зернистая, соленая",221 кКал,"28,2 г","11,7 г","0,7 г"
"Икра сельди тихоокеанской, свежая",74 кКал,"9,6 г","1,93 г","4,47 г"
"Икра сельди тихоокеанской, сухая",312 кКал,"60,4 г","6,6 г","2,8 г"
"Икра сиговых рыб, свежая",104 кКал,"14,66 г","2,88 г","4,89 г"
"Икра, черная и красная, зернистая, соленая",264 кКал,"24,6 г","17,9 г",4 г
Кабан-рыба,220 кКал,"14,1 г","18,2 г",0 г
Кальмар,100 кКал,18 г,"2,2 г",2 г
"Кальмар, все виды, жареный",175 кКал,"17,94 г","7,48 г","7,79 г"
"Кальмар, все виды, сырой",92 кКал,"15,58 г","1,38 г","3,08 г"
"Камбала (морская и речная), приготовленная на жару",86 кКал,"15,24 г","2,37 г",0 г
"Камбала (морская и речная), сырая",70 кКал,"12,41 г","1,93 г",0 г
"Камбала в томатном соусе, консервы",125 кКал,"12,6 г","5,4 г","6,3 г"
Камбала дальневосточная,90 кКал,"15,7 г",3 г,0 г
Камбала обжаренная в масле. Консервы,254 кКал,"14,4 г","21,8 г",0 г
Камбала полярная,86 кКал,"16,4 г","2,3 г",0 г
Камбала речная горячего копчения,192 кКал,22 г,"11,6 г",0 г
Камбала черноморская,"84,5 кКал","18,2 г","1,3 г",0 г
Камбала-ерш,86 кКал,"15,5 г","2,7 г",0 г
"Каракатица, все виды, приготовленная на пару",158 кКал,"32,48 г","1,4 г","1,64 г"
"Каракатица, все виды, сырая",79 кКал,"16,24 г","0,7 г","0,82 г"
Карась,87 кКал,"17,7 г","1,8 г",0 г
Карась морской,91 кКал,"20,4 г","1,4 г",0 г
"Карась морской, приготовленный на жару",126 кКал,"26,02 г","1,63 г",0 г
"Карась морской, сырой",108 кКал,"20,21 г","2,41 г",0 г
Карп,112 кКал,16 г,"5,3 г",0 г
"Карп жареный, по 1-364",181 кКал,"18,5 г","10,5 г","3,2 г"
"Карп, сырой",127 кКал,"17,83 г","5,6 г",0 г
"Карп, сырой, приготовленный на жару",162 кКал,"22,86 г","7,17 г",0 г
"Кафельник, приготовленный на жару",147 кКал,"24,49 г","4,69 г",0 г
"Кафельник, сырой",96 кКал,"17,5 г","2,31 г",0 г
Кета,127 кКал,19 г,"5,6 г",0 г
"Кета в томатном соусе, консервы",168 кКал,"19,7 г","8,2 г","4,1 г"
"Кета натуральная, консервы",129 кКал,"21,5 г","4,8 г",0 г
Кета соленая,184 кКал,"24,3 г","9,6 г",0 г
"Кета, консервированная без соли, сухой продукт без маринада с костями",141 кКал,"21,43 г","5,5 г",0 г
"Кета, приготовленная на жару",154 кКал,"25,82 г","4,83 г",0 г
"Кета, сухой продукт без маринада с костями",141 кКал,"21,43 г","5,5 г",0 г
"Кета, сушеная, (Аляска)",378 кКал,"62,09 г","14,38 г",0 г
"Кета, сырая",120 кКал,"20,14 г","3,77 г",0 г
"Кета, сырая, (Аляска)",116 кКал,"20,69 г","3,67 г",0 г
Кефаль холодного копчения,199 кКал,"23,8 г","11,5 г",0 г
Кижуч,140 кКал,"21,6 г",6 г,0 г
"Кижуч (серебряный лосось), сырой, (Аляска)",140 кКал,"22,56 г","5,57 г",0 г
Кижуч консервированный,140 кКал,"17,9 г","7,4 г",0 г
"Кижуч, дикий, приготовленный на жару",139 кКал,"23,45 г","4,3 г",0 г
"Кижуч, дикий, приготовленный на пару",184 кКал,"27,36 г","7,5 г",0 г
"Кижуч, дикий, сырой",146 кКал,"21,62 г","5,93 г",0 г
"Кижуч, разведенный на ферме, приготовленный на жару",178 кКал,"24,3 г","8,23 г",0 г
"Кижуч, разведенный на ферме, сырой",160 кКал,"21,27 г","7,67 г",0 г
Килька балтийская,137 кКал,"14,1 г",9 г,0 г
Килька балтийская горячего копчения,162 кКал,"21,3 г","8,5 г",0 г
Килька балтийская соленая,137 кКал,"17,1 г","7,6 г",0 г
Килька каспийская,192 кКал,"18,5 г","13,1 г",0 г
"Килька соленая с картофелем и маслом, по 1-100",192 кКал,"11,3 г","12,2 г","9,2 г"
"Килька соленая с луком и маслом, по 1-98",169 кКал,10 г,"13,8 г","1,1 г"
Китовое мясо,119 кКал,"22,5 г","3,2 г",0 г
"Китовые, белуга, мясо сушеное (Аляска)",327 кКал,"69,86 г","5,34 г",0 г
"Китовые, белуга, мясо сырое (Аляска)",111 кКал,"26,5 г","0,5 г",0 г
"Китовые, белуга, плавник сырой (Аляска)",271 кКал,19 г,"21,7 г",0 г
Клыкач,203 кКал,"14,4 г","16,1 г",0 г
"Корифена, приготовленная на жару",109 кКал,"23,72 г","0,9 г",0 г
"Корифена, сырая",85 кКал,"18,5 г","0,7 г",0 г
"Корюшка зубастая, азиатская",102 кКал,"15,4 г","4,5 г",0 г
"Корюшка, сушеная, (Аляска)",386 кКал,"56,19 г","17,9 г",0 г
"Котлеты из трески, по 1-380",164 кКал,"12,6 г","5,9 г",15 г
"Краб дандженесский, приготовленный на пару",110 кКал,"22,32 г","1,24 г","0,95 г"
"Краб дандженесский, сырой",86 кКал,"17,41 г","0,97 г","0,74 г"
Краб камчатский (мясо),82 кКал,"18,2 г",1 г,0 г
"Краб камчатский, приготовленный на пару",97 кКал,"19,35 г","1,54 г",0 г
"Краб камчатский, сырой",84 кКал,"18,29 г","0,6 г",0 г
"Краб синий, консервированный",83 кКал,"17,88 г","0,74 г",0 г
"Краб синий, крабовые пироженные",155 кКал,"20,21 г","7,52 г","0,48 г"
"Краб синий, приготовленный на пару",83 кКал,"17,88 г","0,74 г",0 г
"Краб синий, сырой",87 кКал,"18,06 г","1,08 г","0,04 г"
"Краб-стригун, приготовленный на пару",115 кКал,"23,72 г","1,51 г",0 г
"Краб-стригун, сырой",90 кКал,"18,5 г","1,18 г",0 г
"Крабовое мясо из сурими (искуственное), крабовые палочки",95 кКал,"7,62 г","0,46 г","14,5 г"
Крабы консервированные,85 кКал,"18,7 г","1,1 г",0 г
Красноглазка,126 кКал,"21,9 г","4,2 г",0 г
Красноперка дальневосточная,100 кКал,"18,3 г",3 г,0 г
Креветка антарктическая (мясо) варено-мороженая,98 кКал,"20,5 г","1,6 г","0,3 г"
Креветка антарктическая натуральная. Консервы,82 кКал,"17,7 г","1,1 г","0,3 г"
Креветка дальневосточная (мясо),87 кКал,"18,3 г","1,2 г","0,8 г"
"Креветка дальневосточныя натуральная, консервы",134 кКал,"28,7 г","1,2 г","2,2 г"
Креветка приготовленная,99 кКал,"23,98 г","0,28 г","0,2 г"
Креветка сырая,85 кКал,"20,1 г","0,51 г",0 г
"Креветка, все виды, консервированная",100 кКал,"20,42 г","1,36 г",0 г
"Креветка, все виды, обжаренная в панировке",242 кКал,"21,39 г","12,28 г","11,07 г"
"Креветка, все виды, приготовленная на пару",119 кКал,"22,78 г","1,7 г","1,52 г"
"Креветка, все виды, сырая",71 кКал,"13,61 г","1,01 г","0,91 г"
Креветочное мясо из сурими (искусственное),101 кКал,"12,39 г","1,47 г","9,13 г"
Кубера,96 кКал,"20,3 г","1,6 г",0 г
"Кумжа, все виды, приготовленная на жару",133 кКал,"21,46 г","4,63 г",0 г
"Кумжа, все виды, сырая",104 кКал,"16,74 г","3,61 г",0 г
Курок,71 кКал,"15,8 г","0,9 г",0 г
Лангуст (мясо шеек),77 кКал,"18,4 г","0,4 г","2,43 г"
"Лангуст, все виды, приготовленный на пару",143 кКал,"26,41 г","1,94 г","3,12 г"
"Лангуст, все виды, сырой",112 кКал,"20,6 г","1,51 г","2,43 г"
Ледяная рыба,91 кКал,"17,7 г","2,2 г",0 г
Лемонема,67 кКал,"15,9 г","0,4 г",0 г
Летрин,84 кКал,"20,2 г","0,4 г",0 г
Лещ,105 кКал,"17,1 г","4,4 г",0 г
Лещ в томатном соусе. Консервы,124 кКал,"15,3 г","5,1 г",4 г
Лещ вяленый,221 кКал,42 г,"5,9 г",0 г
Лещ горячего копчения,172 кКал,"32,8 г","4,5 г",0 г
Лещ каспийский соленый,144 кКал,"25,2 г","4,8 г",0 г
Лещ морской,105 кКал,"18,88 г","2,73 г",0 г
Лещ морской,143 кКал,"21,3 г","6,4 г",0 г
"Лещ морской, приготовленный на жару",135 кКал,"24,21 г","3,5 г",0 г
Лещ холодного копчения,160 кКал,"29,7 г","4,6 г",0 г
Лихия,105 кКал,"21,1 г","2,3 г",0 г
Лосось атлантический (семга),153 кКал,20 г,"8,1 г",0 г
"Лосось атлантический (семга), дикий",142 кКал,"19,84 г","6,34 г",0 г
"Лосось атлантический (семга), дикий, приготовленный на жару",182 кКал,"25,44 г","8,13 г",0 г
"Лосось атлантический, разведенный на ферме, приготовленный на жару",206 кКал,"22,1 г","12,35 г",0 г
"Лосось атлантический, разведенный на ферме, сырой",208 кКал,"20,42 г","13,42 г",0 г
Лосось каспийский соленый,269 кКал,21 г,"20,5 г",0 г
Лунник,151 кКал,"14,6 г","10,3 г",0 г
Луфарь океанический,109 кКал,"19,7 г","3,4 г",0 г
"Луфарь, приготовленный на жару",159 кКал,"25,69 г","5,44 г",0 г
"Луфарь, сырой",124 кКал,"20,04 г","4,24 г",0 г
Луциан,86 кКал,"19,8 г","0,8 г",0 г
