Продукт,Калорийность,Белки,Жиры,Углеводы
"Детское питание, Обед, говядина с рисом, для детей, начинающих ходить",82 кКал,5 г,"2,9 г","8,8 г"
"Детское питание, Обед, говядина, лазанья, для детей, начинающих ходить",77 кКал,"4,2 г","2,1 г",10 г
"Детское питание, Обед, индейка с овощами, пюре",48 кКал,"2,32 г","0,9 г","6,12 г"
"Детское питание, Обед, индейка с рисом и овощами, для детей, начинающих ходить",60 кКал,"3,8 г","1,6 г","6,7 г"
"Детское питание, Обед, индейка с рисом, пюре",52 кКал,"2,27 г","1,24 г","7,04 г"
"Детское питание, Обед, картофель, с сыром и ветчиной, для детей, начинающих ходить",78 кКал,"3,5 г",2 г,"11,97 г"
"Детское питание, Обед, куриный суп, пюре",50 кКал,"1,6 г","1,7 г","6,1 г"
"Детское питание, Обед, курица с рисом",51 кКал,"1,6 г","0,9 г","8,1 г"
"Детское питание, Обед, лапша с говядиной, для детей, раннего возраста",57 кКал,"2,5 г","1,9 г","6,2 г"
"Детское питание, Обед, лапша с говядиной, пюре",63 кКал,"2,44 г","2,26 г","6,88 г"
"Детское питание, Обед, лапша с курицей, пюре",74 кКал,"3,53 г","3,22 г","6,11 г"
"Детское питание, Обед, макароны с сыром, для детей, начинающих ходить",82 кКал,"3,5 г","2,6 г","10,7 г"
"Детское питание, Обед, макароны с сыром, пюре",67 кКал,"3,14 г","2,11 г","8,25 г"
"Детское питание, Обед, макароны, говядина в томатном соусе, для детей, начинающих ходить",82 кКал,"4,34 г","1,9 г","10,43 г"
"Детское питание, Обед, овощи с беконом, пюре",69 кКал,"1,92 г","2,95 г","8,81 г"
"Детское питание, Обед, овощи с ветчиной, пюре",59 кКал,"2,19 г","2,14 г","7,8 г"
"Детское питание, Обед, овощи с говядиной, пюре",77 кКал,"2,21 г","3,6 г","7,54 г"
"Детское питание, Обед, овощи с клецками и говядиной, пюре",48 кКал,2 г,"0,9 г","7,7 г"
"Детское питание, Обед, овощи с лапшой и индейкой, пюре",44 кКал,"1,2 г","1,2 г","5,7 г"
"Детское питание, Обед, овощи с мясом ягненка, пюре",52 кКал,2 г,2 г,"6,9 г"
"Детское питание, Обед, овощи, лапша с курицей, пюре",63 кКал,2 г,"2,5 г","6,8 г"
"Детское питание, Обед, паста (макаронные изделия), с овощами",60 кКал,"1,7 г","2,1 г","6,9 г"
"Детское питание, Обед, рагу из говядины, для детей, начинающих ходить",51 кКал,"5,1 г","1,2 г","5,5 г"
"Детское питание, Обед, рагу из цыпленка, для детей, начинающих ходить",78 кКал,"5,2 г","3,7 г","5,8 г"
"Детское питание, Обед, сладкий картофель (батат) с курицей, пюре",74 кКал,"2,51 г","2,17 г","9,74 г"
"Детское питание, Обед, смесь овощей, пюре",41 кКал,"1,2 г","0,1 г","9,5 г"
"Детское питание, Обед, спагетти, с мясом и помидорами (томатами), для детей, начинающих ходить",75 кКал,"5,3 г",1 г,"10,8 г"
"Детское питание, Обед, цыпленок с овощами, пюре",59 кКал,"2,47 г","1,73 г","6,32 г"
"Детское питание, Обогащенная злаковая плитка, с фруктовым наполнителем",344 кКал,"5,43 г","5,3 г","66,93 г"
"Детское питание, Овощи и коричневый рис, пюре",69 кКал,"1,9 г","1,5 г",11 г
"Детское питание, Овощи, горошек, пюре",50 кКал,"3,27 г","0,43 г","6,36 г"
"Детское питание, Овощи, зеленая фасоль и картофель",62 кКал,"2,2 г","1,9 г","7,6 г"
"Детское питание, Овощи, зеленая фасоль, пюре",27 кКал,"1,2 г","0,17 г","4,09 г"
"Детское питание, Овощи, кукуруза, протертая, пюре",57 кКал,"1,4 г","0,4 г",12 г
