Продукт,Калорийность,Белки,Жиры,Углеводы
Коричневая фасоль со сладким перцем в соусе Кайен [Бондюэль],44 кКал,"2,6 г","0,4 г","7,6 г"
Корнишоны Маринованные [Бондюэль],20 кКал,1 г,"0,2 г","3,5 г"
Корнишоны маринованные 3-6 см [Бондюэль],20 кКал,1 г,"0,2 г","3,5 г"
Красная Фасоль [Бондюэль],87 кКал,"5,3 г","0,2 г",16 г
Красная фасоль в соусе Чили [Бондюэль],125 кКал,"5,5 г",3 г,19 г
Красная Фасоль в Томатном Соусе Чили [Бондюэль],124 кКал,"5,8 г","2,8 г",19 г
Красная Фасоль Консервированная [Бондюэль],87 кКал,"5,3 г","0,2 г",16 г
Красная Фасоль с Кукурузой в Мексиканском Соусе [Бондюэль],107 кКал,4 г,"2,8 г","14,7 г"
Кукуруза [Бондюэль],58 кКал,"2,9 г","0,6 г","9,9 г"
Кукуруза золотистая [Бондюэль],96 кКал,"3,2 г",1 г,"18,6 г"
Кукуруза Консервированная [Бондюэль],112 кКал,3 г,"1,3 г","20,5 г"
Кукуруза на Пару [Бондюэль],80 кКал,"2,9 г","1,9 г","10,8 г"
Кукуруза Натурально Сладкая [Бондюэль],80 кКал,"2,9 г","1,9 г","10,8 г"
Кукуруза Сладкая [Бондюэль],58 кКал,"2,9 г","0,6 г","9,9 г"
Кукуруза сладкая в зёрнах [Бондюэль],93 кКал,"3,3 г","2,3 г","14,7 г"
Кукуруза сладкая в зернах в вакуумной упаковке [Бондюэль],115 кКал,"3,9 г","1,3 г",22 г
Кукуруза сладкая в початках [Бондюэль],101 кКал,"3,5 г","2,8 г","15,6 г"
Лечо [Бондюэль],65 кКал,0 г,0 г,"16,6 г"
Лечо в томатном соусе замороженное [Бондюэль],35 кКал,"1,3 г","0,9 г","5,4 г"
Маслины без Косточки [Бондюэль],115 кКал,"0,8 г","10,7 г","6,3 г"
Маслины с косточкой / без косточки [Бондюэль],115 кКал,"0,8 г","10,7 г","6,3 г"
Мексика Микс [Бондюэль],49 кКал,"3,1 г","0,9 г","8,9 г"
Мексиканская Смесь [Бондюэль],49 кКал,"3,1 г","0,9 г","8,9 г"
Мексиканская Смесь для Жарки [Бондюэль],75 кКал,"3,5 г","0,5 г",14 г
Молодая Кукуруза [Бондюэль],70 кКал,"2,6 г",1 г,"12,6 г"
Молодая Морковь [Бондюэль],23 кКал,"0,6 г","0,3 г","3,4 г"
Молодая морковь Экстра [Бондюэль],25 кКал,"0,5 г","0,7 г","4,2 г"
Молодой Горошек [Бондюэль],72 кКал,"5,2 г","0,9 г","6,8 г"
Морковь молодая целая [Бондюэль],27 кКал,"0,8 г","0,5 г",5 г
Морковь Тертая на Пару [Бондюэль],38 кКал,"0,6 г","0,4 г","6,5 г"
Нут на Пару [Бондюэль],130 кКал,"3,5 г","3,2 г",21 г
Овощи Гриль [Бондюэль],61 кКал,"2,2 г","2,7 г","5,6 г"
Овощи для супа из шампиньонов [Бондюэль],22 кКал,"0,3 г","0,3 г",6 г
Овощная смесь Весенняя [Бондюэль],35 кКал,"2,6 г","0,5 г","4,5 г"
Овощная смесь для жарки Гавайская [Бондюэль],91 кКал,3 г,"0,5 г","22,7 г"
Овощная смесь для жарки Индонезийская [Бондюэль],38 кКал,"1,8 г",0 г,"7,8 г"
Овощная смесь для жарки Китайская [Бондюэль],61 кКал,"2,5 г","0,4 г","11,7 г"
Овощная смесь для жарки По-деревенски [Бондюэль],65 кКал,"1,7 г","4,6 г","4,4 г"
Овощная смесь для жарки Полевая [Бондюэль],25 кКал,2 г,"0,4 г","3,3 г"
Овощная смесь для жарки с рисом и шампиньонами [Бондюэль],58 кКал,"2,5 г","0,3 г","14,7 г"
Овощная смесь Китайская [Бондюэль],19 кКал,"1,3 г","0,2 г","3,2 г"
Овощная смесь Летняя в сливочном соусе [Бондюэль],70 кКал,2 г,"2,8 г","9,3 г"
Овощная смесь Маседуан [Бондюэль],43 кКал,"2,2 г","0,3 г","7,9 г"
Овощная смесь Мексиканская [Бондюэль],72 кКал,"3,6 г","0,7 г","12,7 г"
Овощная смесь Минестрон [Бондюэль],51 кКал,"1,9 г","0,7 г","11,8 г"
Овощная смесь Царская [Бондюэль],20 кКал,"1,4 г","0,3 г","5,1 г"
Овощное Трио Гриль [Бондюэль],41 кКал,"1,8 г","0,4 г","6,2 г"
"Овощные Галеты ""Зелёный Букет"" [Бондюэль]",83 кКал,4 г,"4,2 г",6 г
"Овощные Галеты ""Королевские"" [Бондюэль]",91 кКал,"4,9 г","4,8 г","5,4 г"
Овощные Галеты Кантри [Бондюэль],97 кКал,"2,9 г","5,1 г","7,6 г"
Овощные Галеты Ореховая Тыква с Мускатом [Бондюэль],95 кКал,"3,4 г","5,1 г","7,3 г"
Овощные Галеты Ореховая Тыква с Мускатом [Бондюэль],71 кКал,"2,6 г","3,8 г","5,5 г"
Овощные Галеты Сицилийские [Бондюэль],106 кКал,5 г,"4,4 г","9,9 г"
Огурцы маринованные 6-9 см [Бондюэль],20 кКал,1 г,"0,2 г","3,5 г"
Огурчики по-Дижонски [Бондюэль],71 кКал,"0,5 г","0,2 г",16 г
Оливки без Косточки [Бондюэль],163 кКал,1 г,17 г,0 г
Оливки Мансанилья с Анчоусом [Бондюэль],167 кКал,"2,2 г","10,5 г","5,1 г"
Оливки Мансанилья с Голубым Сыром [Бондюэль],162 кКал,1 г,17 г,"0,1 г"
Оливки с Голубым Сыром [Бондюэль],167 кКал,"2,2 г","10,5 г","5,1 г"
Оливки с Косточкой [Бондюэль],160 кКал,"1,4 г","18,2 г","5,1 г"
Оливки с косточкой / без косточки [Бондюэль],160 кКал,"1,4 г","18,2 г","5,1 г"
Оливки с Лимоном [Бондюэль],162 кКал,"1,1 г",16 г,"1,6 г"
Оливье на Пару [Бондюэль],53 кКал,"2,6 г","0,5 г","7,7 г"
Парижская Смесь [Бондюэль],95 кКал,3 г,"4,5 г","8,5 г"
Перцы Гриль [Бондюэль],44 кКал,"1,7 г","0,3 г","7,2 г"
Печеная Фасоль с Южными Томатами [Бондюэль],90 кКал,"3,5 г","1,5 г",14 г
Печёная Фасоль со Сладким Перцем [Бондюэль],70 кКал,"5,5 г","2,4 г","6,6 г"
Прованская Смесь с Горошком [Бондюэль],72 кКал,"2,8 г","2,2 г","8,5 г"
Рататуй по-Провански [Бондюэль],90 кКал,"1,3 г",6 г,6 г
Ростки фасоли Мунго [Бондюэль],14 кКал,"1,5 г","0,1 г","1,8 г"
Сабджи [Бондюэль],102 кКал,"10,3 г","4,1 г","5,5 г"
Салат-коктейль Гавайский маринованный [Бондюэль],91 кКал,"1,7 г","0,5 г",20 г
Салат-коктейль Сомбреро [Бондюэль],62 кКал,"1,7 г","0,8 г","11,9 г"
"Свекла в Кубиках ""на Пару"" [Бондюэль]",41 кКал,"0,9 г",0 г,"8,1 г"
Свекла в кубиках в кисло-сладком маринаде [Бондюэль],30 кКал,"0,8 г","0,1 г","6,5 г"
Сладкая Кукуруза в Овощном Салате Мексиканский [Бондюэль],81 кКал,"3,4 г","1,5 г","11,4 г"
Смесь для Жарки Средиземноморская [Бондюэль],83 кКал,"1,8 г","3,7 г","9,1 г"
Спаржа зелёная целая [Бондюэль],24 кКал,"0,6 г","1,3 г","2,6 г"
Трио-aссорти из сладкого перца [Бондюэль],25 кКал,"1,1 г","0,2 г","4,8 г"
Турецкий горох Нут [Бондюэль],127 кКал,"6,3 г","3,2 г","18,3 г"
Фасоль Белая Классическая [Бондюэль],87 кКал,"5,3 г","0,2 г",16 г
Фасоль Белая Классическая [Бондюэль],87 кКал,"5,3 г","0,2 г",16 г
Фасоль Белая на Пару [Бондюэль],91 кКал,"6,6 г",1 г,"10,4 г"
