Продукт,Калорийность,Белки,Жиры,Углеводы
Лаваш Армянский От Бадалова [Пятерочка],280 кКал,9 г,1 г,56 г
Лаваш Армянский Тонкий [Пятерочка],197 кКал,"6,3 г","0,7 г","40,8 г"
Лепешка с Соусом Песто [Пятерочка],467 кКал,14 г,22 г,53 г
Лепешка Узбекская [Пятерочка],217 кКал,"12,3 г","5,4 г","29,7 г"
Лимон [Пятерочка],34 кКал,"0,9 г","0,1 г",3 г
Лук Красный [Пятерочка],42 кКал,"1,4 г",0 г,"9,1 г"
Лук Репчатый [Пятерочка],41 кКал,"1,4 г",0 г,"10,4 г"
Манго [Пятерочка],60 кКал,"0,8 г","0,4 г","13,4 г"
Манка [Пятерочка],328 кКал,"10,3 г",1 г,"67,4 г"
Мармелад [Пятерочка],320 кКал,0 г,0 г,81 г
Масло Сливочное [Пятерочка],661 кКал,"0,8 г","82,5 г","1,3 г"
Матнакаш [Пятерочка],225 кКал,"8,1 г",1 г,46 г
Медальон со Льном [Пятерочка],370 кКал,"7,8 г","17,1 г","46,4 г"
Мини Багет [Пятерочка],270 кКал,"8,4 г","1,2 г","54,9 г"
Мини Багет с Луком [Пятерочка],263 кКал,"8,5 г","1,2 г","53,3 г"
Мини Багет с Чесночным Маслом [Пятерочка],279 кКал,7 г,"8,4 г",43 г
Минтай [Пятерочка],72 кКал,"15,9 г","0,9 г",0 г
Молоко [Пятерочка],60 кКал,3 г,"3,2 г","4,7 г"
"Молоко 2,5% [Пятерочка]",53 кКал,3 г,"2,5 г","4,7 г"
"Молоко 3,2% [Пятерочка]",60 кКал,3 г,"3,2 г","4,7 г"
Мороженое [Пятерочка],180 кКал,4 г,8 г,22 г
Нектар Морковно-Яблочный [Пятерочка],20 кКал,"0,5 г",0 г,5 г
Нектар Морковный с Мякотью [Пятерочка],25 кКал,"0,5 г",0 г,"5,5 г"
Нектарин [Пятерочка],44 кКал,"1,1 г","0,3 г",11 г
Овсяное Печенье [Пятерочка],400 кКал,6 г,11 г,69 г
Огурец Свежий [Пятерочка],15 кКал,"0,8 г","0,1 г","2,8 г"
Палочка Сырная [Пятерочка],441 кКал,10 г,26 г,40 г
Персик [Пятерочка],45 кКал,"0,9 г","0,1 г","9,5 г"
Печенье Roleo [Пятерочка],393 кКал,5 г,20 г,72 г
Печенье Кольца [Пятерочка],457 кКал,"7,2 г","14,3 г","75,1 г"
Пирог с Брусникой [Пятерочка],409 кКал,5 г,23 г,46 г
Пирог с Капустой и Яйцом [Пятерочка],257 кКал,8 г,14 г,25 г
Пирожок Домашний с Картофелем [Пятерочка],118 кКал,3 г,"1,5 г",23 г
Пирожок Дрожжевой с Черникой [Пятерочка],301 кКал,"4,6 г","14,1 г","38,5 г"
Пирожок с Капустой [Пятерочка],229 кКал,"4,9 г","6,2 г","38,5 г"
Пирожок с Картошкой [Пятерочка],229 кКал,"5,2 г",7 г,36 г
Пирожок с Мясом/Картофелем [Пятерочка],315 кКал,"9,9 г","19,6 г","24,8 г"
Пирожок с Сосиской [Пятерочка],370 кКал,8 г,25 г,27 г
Пицца с Ветчиной [Пятерочка],259 кКал,10 г,11 г,30 г
Помело [Пятерочка],32 кКал,"0,6 г","0,2 г","6,7 г"
Помидоры [Пятерочка],20 кКал,"1,1 г","0,2 г","3,7 г"
Пончик [Пятерочка],430 кКал,"6,5 г",27 г,39 г
Пончики Берлинские [Пятерочка],420 кКал,"7,5 г",23 г,47 г
Пончики Берлинские с Варёной Сгущёнкой [Пятерочка],460 кКал,"7,5 г",22 г,58 г
Пончики Берлинские с Шоколадным Муссом [Пятерочка],470 кКал,"6,5 г",26 г,51 г
"Пончики с Кремом ""Берлинские"" [Пятерочка]",470 кКал,7 г,21 г,65 г
Редис [Пятерочка],19 кКал,"1,2 г","0,1 г","3,4 г"
Ржаной Багет с Чесноком [Пятерочка],303 кКал,"6,7 г",11 г,45 г
Рис с Курицей и Овощами [Пятерочка],90 кКал,"6,6 г","3,5 г","8,5 г"
Рожок с Сосиской [Пятерочка],270 кКал,7 г,14 г,29 г
Розан с Абрикосом [Пятерочка],304 кКал,"3,1 г","12,5 г","44,6 г"
Розан со Смородиной [Пятерочка],289 кКал,"3,3 г","12,5 г","40,8 г"
Рулет Куриный [Пятерочка],228 кКал,"24,3 г",14 г,0 г
Салат из Спаржи [Пятерочка],200 кКал,15 г,15 г,1 г
Салат Столичный [Пятерочка],210 кКал,"5,7 г","5,3 г","10,4 г"
Самса с Говядиной [Пятерочка],318 кКал,9 г,18 г,29 г
Самса с Курицей [Пятерочка],360 кКал,"8,5 г",17 г,41 г
Самса с Мясом [Пятерочка],235 кКал,"8,1 г","9,3 г","29,7 г"
Сахар [Пятерочка],400 кКал,0 г,0 г,100 г
Свекла [Пятерочка],43 кКал,"1,5 г","0,1 г","8,8 г"
Семга Норвежская [Пятерочка],164 кКал,"16,5 г","10,9 г",0 г
Семечки [Пятерочка],660 кКал,"25,5 г","65,3 г","5,8 г"
Скумбрия Холодного Копчения [Пятерочка],150 кКал,"23,4 г","6,4 г",0 г
Сливы [Пятерочка],42 кКал,"0,8 г","0,3 г","9,6 г"
Слойка Дрожжевая с Вишней [Пятерочка],301 кКал,"4,6 г","14,1 г","38,5 г"
Слойка с Абрикосом [Пятерочка],301 кКал,"4,6 г","14,1 г","38,5 г"
Слойка с Адыгейским Сыром и Зеленью [Пятерочка],280 кКал,13 г,9 г,38 г
Слойка с Говядиной [Пятерочка],320 кКал,9 г,21 г,24 г
Слойка с Капустой [Пятерочка],337 кКал,"5,7 г",21 г,30 г
Слойка с Картофельной Начинкой [Пятерочка],293 кКал,"4,7 г","14,9 г","34,2 г"
Слойка с Малиной [Пятерочка],270 кКал,"4,5 г",13 г,30 г
Слойка с Сосиской [Пятерочка],346 кКал,8 г,20 г,"33,5 г"
Слойка с Сырной Начинкой [Пятерочка],390 кКал,10 г,23 г,35 г
