Продукт,Калорийность,Белки,Жиры,Углеводы
Запеканка из макарон с творогом,"241,8 кКал","11,6 г","9,2 г",30 г
Запеканка из отварного картофеля,133 кКал,"2,8 г","10,5 г","7,2 г"
Запеканка из риса с ревенем,"155,3 кКал","3,3 г","6,2 г","23,1 г"
Запеканка из спаржи и риса,"137,5 кКал","2,7 г","9,2 г","11,7 г"
Запеканка из творога,"299,7 кКал","12,4 г","20,8 г","16,7 г"
Запеканка из творога и гречневой крупы,"168,3 кКал","7,2 г","7,3 г","19,6 г"
Запеканка из тыквы,"227,8 кКал","4,4 г","12,9 г",25 г
Запеканка из цветной капусты с сыром,"160,7 кКал","6,4 г","12,3 г","6,6 г"
Запеканка из черного хлеба,"180,3 кКал","2,3 г","11,6 г","17,9 г"
Запеканка из яблок,"147,7 кКал","0,3 г",8 г,"19,9 г"
Запеканка капустная,"161,6 кКал","6,8 г","12,9 г","4,9 г"
Запеканка картофельная или рулет картофельный с мясом или субпродуктами,"180,3 кКал","10,6 г","9,9 г","13,1 г"
Запеканка морковная с творогом и без творога,"192,6 кКал","6,9 г","13,4 г",12 г
Запеканка овощная,90 кКал,3 г,"6,7 г","4,8 г"
Запеканка рисовая с творогом,"200,3 кКал","4,5 г","8,8 г","27,4 г"
"Запеканка рисовая, манная, пшенная, пшеничная","147,8 кКал","3,3 г","6,3 г","20,8 г"
Запеканка со свежими плодами,"157,8 кКал",3 г,"2,6 г","32,6 г"
Запеченная маринованная курица,"201,9 кКал","10,3 г","16,8 г","2,6 г"
Запеченная цветная капуста,99 кКал,"3,8 г","7,9 г","3,4 г"
Запеченные творожные клецки,"214,1 кКал",10 г,17 г,"5,6 г"
Заячьи шкурки,"35,9 кКал","1,6 г","0,5 г","6,6 г"
Зразы донские,"337,1 кКал","19,1 г","11,3 г","42,5 г"
Зразы картофельные,"189,7 кКал","4,5 г","12,4 г",16 г
"Зразы картофельные с фаршем из пасты ""Океан""","174,8 кКал","5,5 г","10,7 г",15 г
Зразы отбивные,"266,2 кКал","24,4 г","15,2 г","8,5 г"
Зразы рубленые,"303,4 кКал","18,1 г","20,7 г","11,9 г"
Зразы рыбные с черносливом по-российски,122 кКал,"13,8 г","3,4 г","9,7 г"
Имам баилди,"153,2 кКал","8,2 г","11,7 г","4,2 г"
Имбирно-медовый цыпленок,"193,1 кКал","14,5 г","11,1 г","9,5 г"
Индейка с грибами,"221,4 кКал","10,5 г","11,9 г","19,3 г"
"Кабачки и цветная капуста, запеченные под соусом","179,7 кКал","2,8 г",16 г,"6,6 г"
Кабачки с помидорами,"104,4 кКал","1,3 г","8,1 г","7,1 г"
Кабачки улыбаются,"57,5 кКал","1,4 г","2,9 г","6,9 г"
Кабачки фаршированные в томатном соку,"47,1 кКал","1,6 г","0,4 г",10 г
Кабачки фаршированные мясом,"115,9 кКал","5,5 г","8,8 г","3,9 г"
"Кабачки, баклажаны, перец или помидоры, фаршированные мясом или рисом","154,9 кКал",10 г,"8,6 г",10 г
Калаатикко (из картофеля),"119,4 кКал",4 г,"8,4 г","7,5 г"
Калитки картофельные,"157,1 кКал","3,4 г","8,1 г","18,9 г"
Кальмары жареные,"174,6 кКал","9,9 г","14,4 г","1,4 г"
Капуста отварная с маслом или соусом,92 кКал,"1,7 г","7,8 г","4,1 г"
Капуста по-охотничьи,"65,8 кКал","2,3 г","2,4 г","9,5 г"
Капуста со сметаной в горшочке,"119,4 кКал","1,6 г","11,3 г","2,9 г"
Капуста тушеная,"102,2 кКал","2,7 г","5,9 г","10,2 г"
Капуста тушеная,"99,3 кКал","2,6 г","5,8 г","9,8 г"
Капуста тушеная с грибами,"132,1 кКал","8,1 г","7,8 г","7,9 г"
"Капуста, тушенная с лимонным соком","79,6 кКал","1,1 г","5,2 г","7,6 г"
"Капуста, тушенная со свеклой","56,4 кКал","1,7 г","2,4 г","7,4 г"
Капустные котлеты,"99,4 кКал","6,4 г","3,5 г","11,3 г"
Капустные рулетики,160 кКал,"3,1 г","15,4 г","2,4 г"
Капустный пирог,158 кКал,"4,3 г","12,7 г",7 г
Карп по-австрийски,"150,1 кКал","11,7 г","10,9 г","1,4 г"
