Продукт,Калорийность,Белки,Жиры,Углеводы
"Кукурузная мука белая, маса (из никстамализированного зерна)",363 кКал,"8,46 г","3,69 г","70,19 г"
"Кукурузная мука белая, маса (из никстамализированного зерна), обогащенная",363 кКал,"8,46 г","3,69 г","70,19 г"
"Кукурузная мука желтая грубого помола, беззародышевая",370 кКал,"7,11 г","1,75 г","75,55 г"
"Кукурузная мука желтая грубого помола, беззародышевая, обогащенная",370 кКал,"7,11 г","1,75 г","75,55 г"
"Кукурузная мука желтая грубого помола, самоподнимающаяся, беззародышевая, обогащенная",355 кКал,"8,41 г","1,72 г","67,69 г"
"Кукурузная мука желтая грубого помола, самоподнимающаяся, просеянная, обогащенная",334 кКал,"8,28 г","3,4 г","63,58 г"
"Кукурузная мука желтая грубого помола, самоподнимающаяся, просеянная, с добавлением пшеничной муки, обогащенная",348 кКал,"8,41 г","2,85 г","67,13 г"
"Кукурузная мука желтая грубого помола, цельнозерновая",362 кКал,"8,12 г","3,59 г","69,59 г"
"Кукурузная мука желтая тонкого помола, беззародышевая",375 кКал,"5,59 г","1,39 г","80,85 г"
"Кукурузная мука желтая тонкого помола, цельнозерновая",361 кКал,"6,93 г","3,86 г","69,55 г"
"Кукурузная мука желтая, маса (из никстамализированного зерна), обогащенная",363 кКал,"8,46 г","3,69 г","70,19 г"
"Кукурузная мука фиолетовая тонкого помола, цельнозерновая, (маиз морадо)",364 кКал,"8,75 г","5,09 г","65,49 г"
"Кукурузная мука, голубая (Навахо)",398 кКал,"10,4 г","5,44 г","68,23 г"
Кукурузные отруби,224 кКал,"8,36 г","0,92 г","6,64 г"
Кукурузные хлопья,360 кКал,"6,7 г","0,1 г","82,2 г"
"Кукурузные хлопья, Ральстон Корн Флэйкс",384 кКал,"5,9 г","0,91 г","85,31 г"
Кукурузный крахмал,343 кКал,1 г,"0,6 г","83,5 г"
Кукурузный крахмал,381 кКал,"0,26 г","0,05 г","90,37 г"
Кукурузный пудинг домашнего приготовления,131 кКал,"4,42 г","5,04 г","15,77 г"
"Кускус (кус-кус), приготовленный",112 кКал,"3,79 г","0,16 г","21,82 г"
"Кускус (кус-кус), сухой",376 кКал,"12,76 г","0,64 г","72,43 г"
"Лапша домашняя, по 2-198",322 кКал,12 г,"3,7 г","60,1 г"
"Лапша китайская, плоская, хрустящая",521 кКал,"10,33 г","31,72 г",50 г
"Лапша китайская, чоу мейн",471 кКал,"10,88 г","21,24 г","56,94 г"
"Лапша яичная со шпинатом, обогащенная, приготовленная",132 кКал,"5,04 г","1,57 г","21,95 г"
"Лапша яичная со шпинатом, обогащенная, сухая",382 кКал,"14,61 г","4,55 г","63,52 г"
"Лапша яичная, обогащенная, приготовленная",138 кКал,"4,54 г","2,07 г","23,96 г"
"Лапша яичная, обогащенная, приготовленная с добавлением соли",138 кКал,"4,54 г","2,07 г","23,96 г"
"Лапша яичная, обогащенная, сухая",384 кКал,"14,16 г","4,44 г","67,97 г"
"Лапша яичная, приготовленная, без соли",138 кКал,"4,54 г","2,07 г","23,96 г"
"Лапша яичная, приготовленная, с солью",138 кКал,"4,54 г","2,07 г","23,96 г"
"Лапша яичная, сухая",384 кКал,"14,16 г","4,44 г","67,97 г"
"Лапша японская, соба, приготовленная",99 кКал,"5,06 г","0,1 г","21,44 г"
"Лапша японская, соба, сухая",336 кКал,"14,38 г","0,71 г","74,62 г"
"Лапша японская, сомен, приготовленная",131 кКал,4 г,"0,18 г","27,54 г"
"Лапша японская, сомен, сухая",356 кКал,"11,35 г","0,81 г","69,8 г"
"Лапшевник с творогом, по 1-308",180 кКал,"7,7 г","7,4 г","20,3 г"
"Макароны запеченные с яйцом, по 1 -306",152 кКал,"4,6 г","8,3 г","14,8 г"
Макароны из муки 1 сорта,333 кКал,"11,2 г","1,6 г","68,4 г"
Макароны из муки высшего сорта,338 кКал,11 г,"1,3 г","70,5 г"
"Макароны из муки высшего сорта, витаминизированные",337 кКал,"10,4 г","1,1 г","69,7 г"
"Макароны из муки высшего сорта, молочные",345 кКал,"11,5 г","2,9 г",67 г
"Макароны из муки высшего сорта, яичные",342 кКал,"11,3 г","2,1 г","69,6 г"
"Макароны отварные с жиром, по 1-304",135 кКал,"3,4 г",5 г,19 г
"Макароны отварные, по 1-302",98 кКал,"3,6 г","0,4 г",20 г
"Макароны с овощами, обогащенные, приготовленные",128 кКал,"4,53 г","0,11 г","22,31 г"
"Макароны с овощами, обогащенные, сухие",367 кКал,"13,14 г","1,04 г","70,58 г"
"Манная каша вязкая, по 1-276",100 кКал,"2,2 г","2,9 г","16,4 г"
Манная крупа,333 кКал,"10,3 г",1 г,"70,6 г"
"Манная крупа, необогащенная",360 кКал,"12,68 г","1,05 г","68,93 г"
"Манная крупа, обогащенная",360 кКал,"12,68 г","1,05 г","68,93 г"
Мука из зародышей пшеницы,335 кКал,"33,8 г","7,7 г","32,7 г"
Мука из сорго,357 кКал,"9,53 г","1,24 г","74,95 г"
"Мука из сорго, цельнозерновая",359 кКал,"8,43 г","3,34 г","70,04 г"
Мука из тритикале,338 кКал,"13,18 г","1,81 г","58,54 г"
"Овес, зерно",316 кКал,10 г,"6,2 г","55,1 г"
"Овес, зерно сухое",389 кКал,"16,89 г","6,9 г","55,67 г"
"Овсяная каша быстрого приготовления (растворимая) с изюмом и специями, приготовленная на воде",88 кКал,"1,98 г","0,95 г","16,61 г"
"Овсяная каша быстрого приготовления (растворимая) с корицей и специями, приготовленная на воде",96 кКал,"2,37 г","1,21 г","16,95 г"
