Продукт,Калорийность,Белки,Жиры,Углеводы
Баскет Фри [Ростик'c - KFC],552 кКал,"7,6 г",31 г,"60,2 г"
Бельгийская Вафля [Ростик'c - KFC],402 кКал,"4,1 г","21,2 г","49,1 г"
БИГГЕР оригинальный (порция 258 гр) [Ростик'c - KFC],"619,2 кКал",33 г,"28,4 г","58,3 г"
Биггер Оригинальный [Ростик'c - KFC],622 кКал,"32,9 г","28,2 г","58,5 г"
БИГГЕР острый (порция 258 гр) [Ростик'c - KFC],"580,5 кКал","31,2 г","24,3 г","59,9 г"
Биггер Острый [Ростик'c - KFC],583 кКал,"31,1 г","24,1 г","60,1 г"
Блинчики [Ростик'c - KFC],205 кКал,8 г,"4,7 г","32,9 г"
Боксмастер без Соуса [Ростик'c - KFC],285 кКал,"20,6 г",10 г,"50,7 г"
БОКСМАСТЕР ИЗ ТОСТЕРА оригинальный (порция 253 гр) [Ростик'c - KFC],"690,7 кКал","21,5 г","41,7 г","57,4 г"
Боксмастер из Тостера Оригинальный [Ростик'c - KFC],614 кКал,"23,4 г","38,4 г","43,8 г"
БОКСМАСТЕР ИЗ ТОСТЕРА острый (порция 253 гр) [Ростик'c - KFC],"708,4 кКал","22,8 г","44,5 г","53,9 г"
Боксмастер из Тостера Острый [Ростик'c - KFC],653 кКал,"21,8 г","42,2 г","46,9 г"
Боксмастер Оригинальный [Ростик'c - KFC],629 кКал,27 г,"38,4 г","43,9 г"
Боксмастер Оригинальный [Ростик'c - KFC],620 кКал,"9,3 г","12,5 г","20,8 г"
Боксмастер Острый [Ростик'c - KFC],267 кКал,"9,9 г","15,1 г","22,8 г"
Боксмастер Терияки [Ростик'c - KFC],250 кКал,"10,8 г","12,8 г","22,9 г"
Боксмастер Утренний [Ростик'c - KFC],224 кКал,"11,4 г","11,1 г","19,8 г"
Боксмастер Чизз-Бекон [Ростик'c - KFC],633 кКал,"24,3 г","40,3 г","43,4 г"
Брейкер [Ростик'c - KFC],322 кКал,"15,6 г","15,4 г","30,5 г"
Бургер Русс [Ростик'c - KFC],319 кКал,19 г,"13,9 г","29,6 г"
Бустер [Ростик'c - KFC],219 кКал,"12,6 г","10,1 г","19,5 г"
Ванильный Дюшес [Ростик'c - KFC],182 кКал,0 г,0 г,"45,5 г"
Дабл Чикен [Ростик'c - KFC],324 кКал,"26,8 г","14,5 г","21,3 г"
Дабл Чикен Кентукки BBQ [Ростик'c - KFC],222 кКал,"18,9 г","10,4 г","13,2 г"
Дабл Шефбургер [Ростик'c - KFC],569 кКал,"37,6 г","24,9 г","48,7 г"
Двойной Тёмный Бургер [Ростик'c - KFC],1033 кКал,"57,9 г","54,5 г","77,6 г"
Донат Клубничный [Ростик'c - KFC],417 кКал,"4,8 г",24 г,47 г
Донат Яблоко-Корица [Ростик'c - KFC],378 кКал,"4,7 г",18 г,48 г
Зингер [Ростик'c - KFC],363 кКал,"18,2 г","16,8 г","34,9 г"
"ЗОЛОТОЙ ФАЗАН 0,3л (порция 300 гр) [Ростик'c - KFC]",138 кКал,0 г,0 г,"14,1 г"
Итальянский Салат Ролл [Ростик'c - KFC],431 кКал,19 г,19 г,"45,4 г"
Капучино [Ростик'c - KFC],49 кКал,"1,9 г","1,1 г","7,8 г"
"Капучино 0,4 [Ростик'c - KFC]",128 кКал,"5,1 г","2,8 г","19,9 г"
