Продукт,Калорийность,Белки,Жиры,Углеводы
Арахис в Кунжуте [Ашан],480 кКал,14 г,28 г,52 г
Арахис в Молочном Шоколаде [Ашан],488 кКал,"8,3 г","23,2 г","64,5 г"
Арахис в Сахаре [Ашан],460 кКал,"7,5 г",15 г,75 г
Арахис в Сырной Корочке [Ашан],498 кКал,13 г,"32,8 г","37,7 г"
Арахис в Хрустящей Корочке Васаби [Ашан],498 кКал,13 г,"32,8 г","37,7 г"
Арахис Жареный Солёный [Ашан],640 кКал,25 г,52 г,17 г
Арахис Необжаренный Несоленый [Ашан],561 кКал,"27,9 г","47,9 г","4,5 г"
Арахис с Васаби [Ашан],225 кКал,16 г,31 г,39 г
Арахис Соленый Жареный [Ашан],640 кКал,25 г,52 г,17 г
Арахис Сырой Очищенный [Ашан],550 кКал,26 г,45 г,"8,5 г"
Ассорти из Морепродуктов [Ашан],54 кКал,"8,6 г","1,4 г","1,6 г"
Ассорти из Морепродуктов с/М [Ашан],69 кКал,"7,9 г","0,9 г","7,4 г"
Ассорти из Тропических Фруктов [Ашан],60 кКал,0 г,0 г,14 г
Ассорти Куриное [Ашан],197 кКал,"14,2 г","10,3 г","11,6 г"
Багет 8 Злаков [Ашан],253 кКал,13 г,5 г,39 г
Багет Ароматный с Солодом и Кориандром [Ашан],229 кКал,"6,1 г","1,1 г",43 г
Багет Гурман [Ашан],240 кКал,8 г,1 г,48 г
Багет Гурман Фитнес [Ашан],200 кКал,6 г,1 г,41 г
Багет Здоровье [Ашан],200 кКал,6 г,1 г,41 г
Багет Луковый [Ашан],245 кКал,7 г,1 г,50 г
Багет Мексиканский [Ашан],253 кКал,"8,2 г","1,2 г","51,3 г"
Багет Парижский [Ашан],267 кКал,"8,2 г","0,9 г","54,9 г"
Багет Пряный Аромат [Ашан],231 кКал,"8,3 г","0,9 г","46,5 г"
Багет Пшенично-Ржаной [Ашан],283 кКал,"9,5 г","4,9 г","49,3 г"
Багет Пшеничный с Кунжутом [Ашан],267 кКал,"8,2 г","0,9 г","54,9 г"
Багет Пшеничный с Луком [Ашан],267 кКал,"8,2 г","0,9 г","54,9 г"
Багет Ржано-Пшеничный [Ашан],212 кКал,"6,6 г","1,4 г","39,1 г"
Багет с Курицей [Ашан],215 кКал,23 г,11 г,42 г
Багет с Луком [Ашан],225 кКал,"8,3 г","1,3 г","48,1 г"
Багет с Отрубями [Ашан],254 кКал,"8,8 г","4,2 г","49,8 г"
Багет с Травами [Ашан],300 кКал,"6,5 г","10,4 г","45,1 г"
Багет с Чесноком [Ашан],303 кКал,"6,7 г",11 г,45 г
Багет со Злаками и Чесноком [Ашан],300 кКал,"6,5 г","10,4 г","45,1 г"
Багет Традиционный [Ашан],314 кКал,"9,6 г","1,8 г","68,6 г"
