Продукт,Калорийность,Белки,Жиры,Углеводы
Макфлурри Де Люкс Малина [Макдоналдс],294 кКал,"6,4 г","8,2 г",48 г
Макфлурри Де Люкс Мокко [Макдоналдс],360 кКал,"7,2 г",11 г,57 г
Макфлурри Де Люкс Персик [Макдоналдс],347 кКал,"6,7 г","8,2 г",61 г
Макфлурри Де Люкс с Бисквитом и Карамелью [Макдоналдс],400 кКал,"7,1 г",11 г,67 г
Макфлурри Де Люкс Фисташка [Макдоналдс],268 кКал,"6,1 г","7,7 г",44 г
Макфлурри Де Люкс Шоколадно-Карамельное [Макдоналдс],406 кКал,"7,1 г",11 г,71 г
Макфлурри Де Люкс Шоколадно-Клубничное [Макдоналдс],345 кКал,"6,4 г","8,6 г",60 г
Макфлурри Де Люкс Яблочный Пай [Макдоналдс],307 кКал,"6,5 г","6,6 г",55 г
Макфлурри с Рисом и Клубникой [Макдоналдс],290 кКал,5 г,6 г,54 г
Макфлурри Спелое Манго [Макдоналдс],285 кКал,"5,5 г","5,7 г",53 г
Макфлурри Шоколадно-Клубничное [Макдоналдс],345 кКал,"6,4 г","8,6 г",60 г
Макфлэйвор Фрайз [Макдоналдс],414 кКал,"7,1 г",20 г,49 г
Макфлэйвор Фрайз по Деревенски [Макдоналдс],449 кКал,"9,5 г",24 г,46 г
Макфреш [Макдоналдс],519 кКал,25 г,31 г,34 г
Макчикен [Макдоналдс],484 кКал,21 г,15 г,62 г
Макшейк [Макдоналдс],235 кКал,7 г,7 г,35 г
Малиновый Лимонад [Макдоналдс],139 кКал,0 г,0 г,35 г
"Малиновый Пунш (0,3 L) [Макдоналдс]",140 кКал,"0,3 г",0 г,35 г
Малиновый Шейк [Макдоналдс],244 кКал,"5,7 г","4,3 г",45 г
Маффин с Черной Смородиной [Макдоналдс],370 кКал,5 г,18 г,47 г
Маффин с Шоколадом [Макдоналдс],346 кКал,"5,9 г",12 г,55 г
Маффин с Яблоком и Корицей [Макдоналдс],463 кКал,"5,8 г",22 г,60 г
Маффин Шоколадный [Макдоналдс],289 кКал,"4,6 г","13,7 г","36,8 г"
